experiment_id,reactor_type,temperature_C,residence_time_min,mixing_speed_rpm,conversion_percent,specific_energy_kJ_kg
EXP-01,Conventional,40,20,250,44.2,510
EXP-02,Conventional,50,20,250,51.8,535
EXP-03,Conventional,60,20,250,59.5,561
EXP-04,Conventional,70,20,250,66.7,590
EXP-05,Conventional,80,20,250,72.6,624
EXP-06,Conventional,40,35,250,54.1,548
EXP-07,Conventional,50,35,250,62.4,576
EXP-08,Conventional,60,35,250,70.8,607
EXP-09,Conventional,70,35,250,77.5,641
EXP-10,Conventional,80,35,250,82.1,679
EXP-11,Conventional,40,50,250,61.9,586
EXP-12,Conventional,50,50,250,70.1,618
EXP-13,Conventional,60,50,250,77.9,652
EXP-14,Conventional,70,50,250,83.4,689
EXP-15,Conventional,80,50,250,87.0,731
EXP-16,Intensified,40,5,1200,57.6,320
EXP-17,Intensified,50,5,1200,65.9,337
EXP-18,Intensified,60,5,1200,73.8,355
EXP-19,Intensified,70,5,1200,80.4,376
EXP-20,Intensified,80,5,1200,85.1,401
EXP-21,Intensified,40,10,1200,66.8,342
EXP-22,Intensified,50,10,1200,75.2,361
EXP-23,Intensified,60,10,1200,82.6,382
EXP-24,Intensified,70,10,1200,88.1,405
EXP-25,Intensified,80,10,1200,91.7,431
EXP-26,Intensified,40,15,1200,73.2,365
EXP-27,Intensified,50,15,1200,81.4,386
EXP-28,Intensified,60,15,1200,87.9,409
EXP-29,Intensified,70,15,1200,92.1,434
EXP-30,Intensified,80,15,1200,94.5,462
